Public Results,,,,,,,,,,,
Overall grounding accuracy,,,,,,,,,,,
,It num:,1,2,3,4,5,6,7,8,9,10
,g_acc,0.766666667,0.833333333,0.8,0.733333333,0.9,0.8,0.833333333,0.733333333,0.833333333,0.8
,std error,0.078540323,0.069204567,0.074278135,0.082117568,0.055708601,0.074278135,0.069204567,0.082117568,0.069204567,0.074278135
,,,,,,,,,,,
Split up grounding accuracy,,,,,,,,,,,
,It num,1,2,3,4,5,6,7,8,9,10
,known hypothesized,0.266666667,0.3,0.366666667,0.333333333,0.2,0.333333333,0.433333333,0.233333333,0.4,0.3
,known perceived,0,0,0.066666667,0.033333333,0.033333333,0,0,0,0,0
,unknown hypothesized,0.366666667,0.366666667,0.3,0.266666667,0.366666667,0.266666667,0.233333333,0.266666667,0.166666667,0.066666667
,unknown perceived,0.133333333,0.166666667,0.066666667,0.066666667,0.133333333,0.133333333,0.033333333,0,0,0.033333333
,learned hypothesized,0,0,0,0.033333333,0.1,0,0.133333333,0.166666667,0.2,0.266666667
,learned perceived,0,0,0,0,0.066666667,0.066666667,0,0.066666667,0.066666667,0.133333333
